model_name,spec,term,estimate,std_error,statistic,p_value,ci_lower,ci_upper,odds_ratio
Ordinal,interaction,int_smell_fragrance_packaging,0.13098254216016983,0.06553081739052084,1.9987930469354516,0.04563075041742386,0.0025445001972779213,0.25942058412306174,1.1399478801107692
Ordinal,interaction,int_smell_fragrance_ingredients,-0.09980710829183562,0.04653635984668817,-2.144712405969126,0.03197584837533665,-0.19101669756294035,-0.008597519020730887,0.9050119705054563
Ordinal,interaction,int_price_value_packaging,-0.42857340582472947,0.05944248607077431,-7.209883606053335,5.599972335294344e-13,-0.5450785376749709,-0.312068273974488,0.6514377694723021
Ordinal,interaction,int_price_value_service_shipping,-0.5620689014522092,0.12226409303551516,-4.597170661454463,4.2826681841783134e-06,-0.8017021204042734,-0.32243568250014504,0.5700285102327471
Ordinal,interaction,int_texture_consistency_packaging,-0.21187348695894836,0.11179728389704677,-1.895157731685691,0.058071508087290565,-0.4309921369665598,0.007245163048663045,0.8090670486247277
Ordinal,interaction,int_texture_consistency_ingredients,-0.630364909362251,0.090232187989641,-6.986031519424302,2.8277057376612815e-12,-0.807216748068195,-0.45351307065630697,0.5323974887277928
Ordinal,interaction,int_packaging_ingredients,0.21048652796447487,0.03930354402578776,5.355408352650613,8.536340663709485e-08,0.13345299720914644,0.2875200587198033,1.2342784248673877
Ordinal,interaction,int_packaging_service_shipping,0.07385357623503967,0.09559284116069038,0.7725848017310494,0.4397681419448951,-0.11350494961977152,0.26121210208985085,1.0766491469323862
Ordinal,interaction,int_ingredients_effectiveness_results,-0.5608494317646421,0.07886589246856918,-7.111432004502583,1.1484503900089228e-12,-0.7154237406116464,-0.4062751229176378,0.5707240667408667
Ordinal,interaction,int_ingredients_service_shipping,-0.11889374288292726,0.09260781307534907,-1.2838413837306686,0.19919746026806495,-0.300401721197629,0.06261423543177444,0.8879021416714815
Ordinal,interaction,1/2,-2.3864748069006985,0.006283131801194519,-379.82249655291224,0.0,-2.398789518941158,-2.374160094860239,0.09195326621681978
Ordinal,interaction,2/3,-0.5378335136234105,0.00674018889046752,-79.79502093540063,0.0,-0.5510440410977238,-0.5246229861490972,0.5840121371239314
Ordinal,interaction,3/4,-0.44356148132554735,0.005814401229379793,-76.28669983837027,0.0,-0.45495749832679716,-0.43216546432429753,0.6417467770788448
